ACTIVIDAD_ECONOMICA_CIIU;ANIO;GENERACION_TOTAL_KG
111;2018;479.0
111;2019;1181.0
111;2020;545.0
111;2021;801.0
111;2022;834.0
111;2023;867.0
111;2024;900.0
111;2025;933.0
113;2018;10.6
113;2020;17.0
113;2021;20.2
113;2022;23.4
113;2023;26.6
113;2024;29.8
113;2025;33.0
119;2020;12.0
119;2021;12.0
119;2022;12.0
119;2023;12.0
119;2024;12.0
119;2025;12.0
121;2017;16.97
121;2021;16.97
121;2022;16.97
121;2023;16.97
121;2024;16.97
121;2025;16.97
124;2018;11.0
124;2021;11.0
124;2022;11.0
124;2023;11.0
124;2024;11.0
124;2025;11.0
125;2015;55237.100000000006
125;2016;1811.26
125;2017;2820.47
125;2018;2683.28
125;2019;5492.849999999999
125;2020;1705.5
125;2021;11625.077
125;2022;11625.077
125;2023;11625.077
125;2024;927.143
125;2025;10555.283
126;2015;364.5
126;2016;303.7
126;2017;619.0
126;2018;1023.5
126;2019;526.0
126;2020;1341.97
126;2021;1292.32
126;2022;1462.57
126;2023;1632.82
126;2024;1803.07
126;2025;1973.32
128;2020;24.0
128;2021;24.0
128;2022;24.0
128;2023;24.0
128;2024;24.0
128;2025;24.0
130;2015;18.0
130;2016;14.05
130;2017;19.39
130;2018;114.0
130;2021;173.363
130;2022;202.697
130;2023;232.031
130;2024;261.365
130;2025;290.699
144;2018;57.5
144;2019;138.0
144;2020;505.0
144;2021;681.0
144;2022;904.75
144;2023;1128.5
144;2024;1352.25
144;2025;1576.0
145;2015;563.9
145;2016;101.0
145;2017;252.1
145;2018;345.77
145;2019;1340.7
145;2020;384.2
145;2021;789.372
145;2022;872.637
145;2023;955.902
145;2024;1039.167
145;2025;1122.432
149;2016;162.32
149;2017;80.4
149;2018;90.8
149;2019;77.9
149;2020;58.5
149;2021;30.942
149;2022;9.928
149;2023;72.97
149;2024;9.928
149;2025;65.965
150;2017;555.0
150;2018;24.0
150;2020;3.0
150;2021;194.0
150;2022;194.0
150;2023;47.128
150;2024;3.93
150;2025;145.865
161;2015;72.0
161;2016;93.0
161;2017;76.7
161;2018;116.2
161;2019;90.6
161;2020;5.7
161;2021;45.78
161;2022;37.231
161;2023;28.683
161;2024;20.134
161;2025;11.586
162;2015;265.0
162;2016;333.0
162;2017;618.7
162;2021;1289.817
162;2022;1466.667
162;2023;1643.517
162;2024;1820.367
162;2025;1997.217
210;2018;96.4
210;2019;7.7
210;2021;52.05
210;2022;26.707
210;2023;17.203
210;2024;7.7
210;2025;34.627
510;2018;86990.0
510;2019;62493.6
510;2020;12807.4
510;2021;54097.0
510;2022;17005.7
510;2023;2169.18
510;2024;39260.48
510;2025;2169.18
520;2015;1.0
520;2018;70.0
520;2020;13.0
520;2021;41.421
520;2022;45.447
520;2023;49.473
520;2024;53.5
520;2025;57.526
610;2015;16567.5
610;2016;14587.5
610;2017;4544.2
610;2018;19143.34
610;2019;14077.8
610;2020;9585.6
610;2021;10900.377
610;2022;10276.393
610;2023;9652.408
610;2024;9028.424
610;2025;8404.439
620;2017;7.6
620;2019;1360.0
620;2020;591.5
620;2021;1267.7
620;2022;1531.129
620;2023;1794.557
620;2024;2057.986
620;2025;2321.414
722;2015;5634.0
722;2016;183.03000000000003
722;2017;4511.01
722;2018;1250.95
722;2019;3142.5
722;2020;87.45
722;2021;256.717
722;2022;2152.237
722;2023;256.717
722;2024;1941.623
722;2025;256.717
723;2015;925.6
723;2016;1168.9
723;2017;1065.6
723;2018;659.0
723;2019;742.0
723;2020;146.85
723;2021;226.553
723;2022;67.095
723;2023;625.2
723;2024;67.095
723;2025;569.389
729;2019;5.6
729;2021;5.6
729;2022;5.6
729;2023;5.6
729;2024;5.6
729;2025;5.6
811;2015;25.0
811;2016;1130.0
811;2017;293.0
811;2018;304.0
811;2019;370.0
811;2020;288.9
811;2021;306.867
811;2022;279.738
811;2023;252.61
811;2024;225.481
811;2025;198.353
812;2016;55.0
812;2018;195.0
812;2019;8.9
812;2020;76.2
812;2021;73.569
812;2022;69.857
812;2023;66.146
812;2024;62.434
812;2025;58.723
820;2017;47.0
820;2018;357.0
820;2020;15.0
820;2021;50.143
820;2022;16.572
820;2023;97.143
820;2024;14.653
820;2025;85.359
892;2015;133.7
892;2016;0.0
892;2017;0.0
892;2018;133.7
892;2019;209.5
892;2021;209.5
892;2022;238.03
892;2023;266.56
892;2024;295.09
892;2025;323.62
899;2017;16.5
899;2018;36.65
899;2021;97.1
899;2022;117.25
899;2023;137.4
899;2024;157.55
899;2025;177.7
910;2015;11377.2
910;2016;3292.6
910;2017;13653.1
910;2018;9887.6
910;2019;15716.66
910;2020;8173.599999999999
910;2021;12098.995
910;2022;12598.671
910;2023;13098.348
910;2024;13598.024
910;2025;14097.701
990;2016;15.5
990;2017;73.0
990;2018;40.0
990;2021;91.833
990;2022;104.083
990;2023;116.333
990;2024;128.583
990;2025;140.833
1011;2015;3168.12
1011;2016;1926.27
1011;2017;2360.99
1011;2018;3910.34
1011;2019;3829.03
1011;2020;4083.35
1011;2021;4396.395
1011;2022;4734.503
1011;2023;5072.611
1011;2024;5410.719
1011;2025;5748.827
1012;2017;362.5
1012;2018;831.4
1012;2019;1065.5
1012;2020;722.5
1012;2021;1074.0
1012;2022;1205.41
1012;2023;1336.82
1012;2024;1468.23
1012;2025;1599.64
1020;2015;1211.26
1020;2016;1575.8
1020;2017;2534.5
1020;2018;631.6999999999999
1020;2019;322.7
1020;2020;487.1
1020;2021;198.887
1020;2022;994.564
1020;2023;198.887
1020;2024;22.07
1020;2025;817.747
1030;2015;1490.81
1030;2016;4222.32
1030;2017;6365.9400000000005
1030;2018;4857.18
1030;2019;3942.78
1030;2020;19343.0
1030;2021;15395.029
1030;2022;17878.274
1030;2023;20361.519
1030;2024;22844.764
1030;2025;25328.009
1040;2015;3965.7
1040;2016;6118.0
1040;2017;4479.64
1040;2018;7217.56
1040;2019;8409.75
1040;2020;7659.09
1040;2021;9116.302
1040;2022;9918.591
1040;2023;10720.88
1040;2024;11523.169
1040;2025;12325.458
1051;2015;378.04
1051;2016;1874.05
1051;2017;1734.0
1051;2018;1381.95
1051;2019;2206.0
1051;2020;1149.86
1051;2021;1904.273
1051;2022;2032.927
1051;2023;2161.581
1051;2024;2290.235
1051;2025;2418.889
1052;2017;269.0
1052;2018;29.6
1052;2021;149.3
1052;2022;103.262
1052;2023;89.45
1052;2024;75.639
1052;2025;61.827
1061;2015;124.4
1061;2016;81.5
1061;2017;75.3
1061;2018;126.6
1061;2019;95.2
1061;2020;490.3
1061;2021;357.74
1061;2022;412.651
1061;2023;467.563
1061;2024;522.474
1061;2025;577.386
1062;2015;774.91
1062;2016;1856.01
1062;2017;404.58
1062;2018;349.42
1062;2019;1893.36
1062;2020;644.07
1062;2021;927.327
1062;2022;910.261
1062;2023;893.195
1062;2024;876.129
1062;2025;859.063
1063;2015;1000.64
1063;2016;1836.9
1063;2017;1749.79
1063;2018;29.0
1063;2019;50.0
1063;2020;700.6
1063;2021;36.319
1063;2022;771.893
1063;2023;36.319
1063;2024;690.162
1063;2025;36.319
1071;2015;2960.0
1071;2016;10485.9
1071;2017;4881.62
1071;2018;11488.7
1071;2019;5176.7
1071;2020;3442.62
1071;2021;5715.181
1071;2022;5517.826
1071;2023;5320.471
1071;2024;5123.116
1071;2025;4925.761
1072;2015;12.7
1072;2016;25.0
1072;2017;46.44
1072;2018;111.9
1072;2019;30.33
1072;2020;48.0
1072;2021;71.523
1072;2022;78.893
1072;2023;86.263
1072;2024;93.633
1072;2025;101.003
1081;2015;663.4
1081;2016;2799.25
1081;2017;1317.5
1081;2018;6253.25
1081;2019;10432.4
1081;2020;1881.21
1081;2021;7283.593
1081;2022;8252.857
1081;2023;9222.121
1081;2024;10191.385
1081;2025;11160.649
1082;2015;5651.1
1082;2016;3638.5
1082;2017;4895.9
1082;2018;663.4
1082;2019;740.3499999999999
1082;2020;647.95
1082;2021;2706.2
1082;2022;2706.2
1082;2023;673.555
1082;2024;221.856
1082;2025;2254.501
1083;2015;330.4
1083;2018;12.0
1083;2019;105.8
1083;2020;175.60000000000002
1083;2021;41.479
1083;2022;3.322
1083;2023;111.433
1083;2024;111.433
1083;2025;17.51
1084;2016;18.4
1084;2017;15.7
1084;2018;29.68
