ACTIVIDAD_ECONOMICA_CIIU;ANIO;Coefficients;Mean squared error;Variance score
111.0;2021;[33.];99458.00;0.01
111.0;2022;[33.];74593.50;0.02
111.0;2023;[33.];59674.80;0.04
111.0;2024;[33.];49729.00;0.06
111.0;2025;[33.];42624.86;0.09
113.0;2021;[3.2];0.00;1.00
113.0;2022;[3.2];0.00;1.00
113.0;2023;[3.2];0.00;1.00
113.0;2024;[3.2];0.00;1.00
113.0;2025;[3.2];0.00;1.00
119.0;2021;[0.];0.00;nan
119.0;2022;[0.];0.00;1.00
119.0;2023;[0.];0.00;1.00
119.0;2024;[0.];0.00;1.00
119.0;2025;[0.];0.00;1.00
121.0;2021;[0.];0.00;nan
121.0;2022;[0.];0.00;1.00
121.0;2023;[0.];0.00;1.00
121.0;2024;[0.];0.00;1.00
121.0;2025;[0.];0.00;1.00
124.0;2021;[0.];0.00;nan
124.0;2022;[0.];0.00;1.00
124.0;2023;[0.];0.00;1.00
124.0;2024;[0.];0.00;1.00
124.0;2025;[0.];0.00;1.00
125.0;2021;[-7335.72628571];225012200.95;0.41
125.0;2022;[-4584.82889286];243317177.25;0.26
125.0;2023;[-3056.55257143];237426629.50;0.17
125.0;2024;[-2139.58678333];224125412.43;0.12
125.0;2025;[-2139.58677576];201712871.19;0.16
126.0;2021;[170.25];52652.37;0.62
126.0;2022;[170.25];45130.61;0.72
126.0;2023;[170.25];39489.28;0.79
126.0;2024;[170.25];35101.58;0.85
126.0;2025;[170.25];31591.42;0.88
128.0;2021;[0.];0.00;nan
128.0;2022;[0.];0.00;1.00
128.0;2023;[0.];0.00;1.00
128.0;2024;[0.];0.00;1.00
128.0;2025;[0.];0.00;1.00
130.0;2021;[29.334];687.09;0.61
130.0;2022;[29.334];549.67;0.87
130.0;2023;[29.334];458.06;0.92
130.0;2024;[29.334];392.62;0.95
130.0;2025;[29.334];343.54;0.96
144.0;2021;[223.75];4560.12;0.88
144.0;2022;[223.75];3420.09;0.95
144.0;2023;[223.75];2736.07;0.97
144.0;2024;[223.75];2280.06;0.98
144.0;2025;[223.75];1954.34;0.99
145.0;2021;[83.26485714];141226.36;0.13
145.0;2022;[83.26485714];121051.17;0.19
145.0;2023;[83.26486905];105919.77;0.26
145.0;2024;[83.26488333];94150.91;0.33
145.0;2025;[83.26489697];84735.82;0.40
149.0;2021;[-21.014];393.28;0.69
149.0;2022;[-21.014];327.73;0.80
149.0;2023;[-21.014];280.91;0.86
149.0;2024;[-14.00933333];760.99;0.58
149.0;2025;[-14.00933333];676.43;0.66
