DEPARTAMENTO;GENERACION_TOTAL_KG;ANIO
AMAZONAS;470;2015
AMAZONAS;64.99;2017
AMAZONAS;45.3;2018
AMAZONAS;51.1;2019
AMAZONAS;157.847;2021
AMAZONAS;157.847;2022
AMAZONAS;34.302;2023
AMAZONAS;5.791;2024
AMAZONAS;123.397;2025
ANTIOQUIA;94556.37;2015
ANTIOQUIA;116543.17;2016
ANTIOQUIA;104425.07;2017
ANTIOQUIA;119334.23;2018
ANTIOQUIA;200749.22;2019
ANTIOQUIA;299446.9;2020
ANTIOQUIA;285040.489;2021
ANTIOQUIA;321954.202;2022
ANTIOQUIA;358867.915;2023
ANTIOQUIA;395781.628;2024
ANTIOQUIA;432695.341;2025
ARAUCA;3436;2015
ARAUCA;4932.5;2016
ARAUCA;1888.14;2017
ARAUCA;6885.4;2018
ARAUCA;10836.42;2019
ARAUCA;5458.91;2020
ARAUCA;8855.252;2021
ARAUCA;9793.068;2022
ARAUCA;10730.884;2023
ARAUCA;11668.701;2024
ARAUCA;12606.517;2025
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;337;2018
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;586.23;2019
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;1084.69;2021
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;1333.92;2022
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;1583.15;2023
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;1832.38;2024
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2081.61;2025
ATLANTICO;30514.87;2015
ATLANTICO;182971.95;2016
ATLANTICO;106508.18;2017
ATLANTICO;60518.86;2018
ATLANTICO;47482.46;2019
ATLANTICO;53153.26;2020
ATLANTICO;46265.013;2021
ATLANTICO;36571.703;2022
ATLANTICO;26878.393;2023
ATLANTICO;17185.084;2024
ATLANTICO;7491.774;2025
BOGOTA, D.C.;465967.03;2015
BOGOTA, D.C.;621984.06;2016
BOGOTA, D.C.;2144151.48;2017
BOGOTA, D.C.;370618.92;2018
BOGOTA, D.C.;1766232.18;2019
BOGOTA, D.C.;803516.81;2020
BOGOTA, D.C.;1363441.15;2021
BOGOTA, D.C.;1459068.599;2022
BOGOTA, D.C.;1554696.047;2023
BOGOTA, D.C.;1650323.496;2024
BOGOTA, D.C.;1745950.944;2025
BOLIVAR;3177;2015
BOLIVAR;96998.18;2016
BOLIVAR;80977.5;2017
BOLIVAR;51362.05;2018
BOLIVAR;60793;2019
