DEPARTAMENTO;IDDEPARTAMENTO;GENERACION_TOTAL_KG;ANIO
AMAZONAS;0;470;2015
AMAZONAS;0;0;2016
AMAZONAS;0;64.99;2017
AMAZONAS;0;45.3;2018
AMAZONAS;0;51.1;2019
AMAZONAS;0;75.8;2020
ANTIOQUIA;1;94556.37;2015
ANTIOQUIA;1;116543.17;2016
ANTIOQUIA;1;104425.07;2017
ANTIOQUIA;1;119334.23;2018
ANTIOQUIA;1;200749.22;2019
ANTIOQUIA;1;299446.9;2020
ARAUCA;2;3436;2015
ARAUCA;2;4932.5;2016
ARAUCA;2;1888.14;2017
ARAUCA;2;6885.4;2018
ARAUCA;2;10836.42;2019
ARAUCA;2;5458.91;2020
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0;2015
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0;2016
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0;2017
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;337;2018
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;586.23;2019
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;1084.69;2020
ATLANTICO;4;30514.87;2015
ATLANTICO;4;182971.95;2016
ATLANTICO;4;106508.18;2017
ATLANTICO;4;47482.46;2019
ATLANTICO;4;53153.26;2020
ATLANTICO;4;60518.86;2018
BOGOTA, D.C.;5;465967.03;2015
BOGOTA, D.C.;5;621984.06;2016
BOGOTA, D.C.;5;2144151.48;2017
BOGOTA, D.C.;5;370618.92;2018
BOGOTA, D.C.;5;1766232.18;2019
BOGOTA, D.C.;5;803516.81;2020
BOLIVAR;6;3177;2015
BOLIVAR;6;96998.18;2016
BOLIVAR;6;80977.5;2017
BOLIVAR;6;51362.05;2018
BOLIVAR;6;60793;2019
BOLIVAR;6;206957.52;2020
BOYACA;7;6285;2015
BOYACA;7;13384.85;2016
BOYACA;7;14464.49;2017
BOYACA;7;17013.62;2018
BOYACA;7;23901.6;2019
BOYACA;7;38577.3;2020
CALDAS;8;11924.37;2015
CALDAS;8;11882.73;2016
CALDAS;8;9559.47;2017
CALDAS;8;7539.83;2018
CALDAS;8;23702.91;2019
CALDAS;8;32014.5;2020
CAQUETA;9;0;2015
CAQUETA;9;0;2016
CAQUETA;9;135.2;2017
CAQUETA;9;71.3;2018
CAQUETA;9;185;2019
CAQUETA;9;460.4;2020
CASANARE;10;2689.48;2015
CASANARE;10;1976.9;2016
CASANARE;10;2386.25;2017
CASANARE;10;4448.78;2018
CASANARE;10;2564.99;2019
CASANARE;10;2394.9;2020
CAUCA;11;7536.26;2015
CAUCA;11;7203.01;2016
CAUCA;11;7588.44;2017
CAUCA;11;5731.76;2018
CAUCA;11;3768.21;2019
CAUCA;11;4490.31;2020
CESAR;12;818;2015
CESAR;12;766.83;2016
CESAR;12;1763.3;2017
CESAR;12;3777.9;2018
CESAR;12;11045.4;2019
CESAR;12;14665.15;2020
CHOCO;13;14;2015
CHOCO;13;490;2016
CHOCO;13;1;2017
CHOCO;13;752;2018
CHOCO;13;66;2019
CHOCO;13;966.1;2020
CORDOBA;14;2034.2;2015
CORDOBA;14;2274.85;2016
CORDOBA;14;6990.07;2017
CORDOBA;14;2801.06;2018
CORDOBA;14;3007.3;2019
CORDOBA;14;12320.95;2020
