DEPARTAMENTO;IDDEPARTAMENTO;GENERACION_TOTAL_KG;ANIO
AMAZONAS;0;470.0;2015
AMAZONAS;0;0.0;2016
AMAZONAS;0;64.99;2017
AMAZONAS;0;45.3;2018
AMAZONAS;0;51.1;2019
AMAZONAS;0;75.8;2020
ANTIOQUIA;1;94556.37;2015
ANTIOQUIA;1;116543.17;2016
ANTIOQUIA;1;104425.07;2017
ANTIOQUIA;1;119334.23;2018
ANTIOQUIA;1;200749.22;2019
ANTIOQUIA;1;299446.9;2020
ARAUCA;2;3436.0;2015
ARAUCA;2;4932.5;2016
ARAUCA;2;1888.14;2017
ARAUCA;2;6885.4;2018
ARAUCA;2;10836.42;2019
ARAUCA;2;5458.91;2020
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0.0;2015
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0.0;2016
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;0.0;2017
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;337.0;2018
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;586.23;2019
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;1084.69;2020
ATLANTICO;4;30514.87;2015
ATLANTICO;4;182971.95;2016
ATLANTICO;4;106508.18;2017
ATLANTICO;4;47482.46;2019
ATLANTICO;4;53153.26;2020
ATLANTICO;4;60518.86;2018
BOGOTA, D.C.;5;465967.03;2015
BOGOTA, D.C.;5;621984.06;2016
BOGOTA, D.C.;5;2144151.48;2017
BOGOTA, D.C.;5;370618.92;2018
BOGOTA, D.C.;5;1766232.18;2019
BOGOTA, D.C.;5;803516.81;2020
BOLIVAR;6;3177.0;2015
BOLIVAR;6;96998.18;2016
BOLIVAR;6;80977.5;2017
BOLIVAR;6;51362.05;2018
BOLIVAR;6;60793.0;2019
BOLIVAR;6;206957.52;2020
BOYACA;7;6285.0;2015
BOYACA;7;13384.85;2016
BOYACA;7;14464.49;2017
BOYACA;7;17013.62;2018
BOYACA;7;23901.6;2019
BOYACA;7;38577.3;2020
CALDAS;8;11924.37;2015
CALDAS;8;11882.73;2016
CALDAS;8;9559.47;2017
CALDAS;8;7539.83;2018
CALDAS;8;23702.91;2019
CALDAS;8;32014.5;2020
CAQUETA;9;0.0;2015
CAQUETA;9;0.0;2016
CAQUETA;9;135.2;2017
CAQUETA;9;71.3;2018
CAQUETA;9;185.0;2019
CAQUETA;9;460.4;2020
CASANARE;10;2689.48;2015
CASANARE;10;1976.9;2016
CASANARE;10;2386.25;2017
CASANARE;10;4448.78;2018
CASANARE;10;2564.99;2019
CASANARE;10;2394.9;2020
CAUCA;11;7536.26;2015
CAUCA;11;7203.01;2016
CAUCA;11;7588.44;2017
CAUCA;11;5731.76;2018
CAUCA;11;3768.21;2019
CAUCA;11;4490.31;2020
CESAR;12;818.0;2015
CESAR;12;766.83;2016
CESAR;12;1763.3;2017
CESAR;12;3777.9;2018
CESAR;12;11045.4;2019
CESAR;12;14665.15;2020
CHOCO;13;14.0;2015
CHOCO;13;490.0;2016
CHOCO;13;1.0;2017
CHOCO;13;752.0;2018
CHOCO;13;66.0;2019
CHOCO;13;966.1;2020
CORDOBA;14;2034.2;2015
CORDOBA;14;2274.85;2016
CORDOBA;14;6990.07;2017
CORDOBA;14;2801.06;2018
CORDOBA;14;3007.3;2019
CORDOBA;14;12320.95;2020
CUNDINAMARCA;15;126764.05;2015
CUNDINAMARCA;15;73083.99;2016
CUNDINAMARCA;15;82095.6;2017
CUNDINAMARCA;15;84340.6;2018
CUNDINAMARCA;15;129125.03;2019
CUNDINAMARCA;15;197049.61;2020
GUAINIA;16;0.0;2015
GUAINIA;16;0.0;2016
GUAINIA;16;147.0;2017
GUAINIA;16;270.0;2018
GUAINIA;16;417.0;2019
GUAINIA;16;135.0;2020
GUAVIARE;17;0.0;2015
GUAVIARE;17;0.0;2016
GUAVIARE;17;28.0;2017
GUAVIARE;17;36.6;2018
GUAVIARE;17;22.3;2019
GUAVIARE;17;8.6;2020
HUILA;18;469.5;2015
HUILA;18;8906.5;2016
HUILA;18;3661.58;2017
HUILA;18;42802.57;2019
HUILA;18;3401.38;2018
HUILA;18;16968.32;2020
LA GUAJIRA;19;1244.5;2015
LA GUAJIRA;19;1835.75;2016
LA GUAJIRA;19;1460.46;2017
LA GUAJIRA;19;88872.27;2018
LA GUAJIRA;19;55194.1;2019
LA GUAJIRA;19;4676.22;2020
MAGDALENA;20;885.66;2015
MAGDALENA;20;1152.7;2016
MAGDALENA;20;4215.16;2017
MAGDALENA;20;5749.27;2018
MAGDALENA;20;4118.19;2019
MAGDALENA;20;4350.4;2020
META;21;6871.92;2015
META;21;3228.66;2016
META;21;5456.51;2017
META;21;17747.48;2018
META;21;11418.21;2019
META;21;30692.36;2020
NARINO;22;20111.06;2015
NARINO;22;22316.6;2016
NARINO;22;11993.04;2017
NARINO;22;44565.28;2018
NARINO;22;6846.17;2019
NARINO;22;44910.97;2020
NORTE DE SANTANDER;23;246.3;2015
NORTE DE SANTANDER;23;479.53;2016
NORTE DE SANTANDER;23;5734.0;2017
NORTE DE SANTANDER;23;10901.74;2018
NORTE DE SANTANDER;23;13668.84;2019
NORTE DE SANTANDER;23;50771.1;2020
PUTUMAYO;24;9.0;2015
PUTUMAYO;24;1645.0;2016
PUTUMAYO;24;1076.0;2017
PUTUMAYO;24;474.3;2018
PUTUMAYO;24;1094.75;2019
PUTUMAYO;24;625.2;2020
QUINDIO;25;3922.0;2015
QUINDIO;25;2097.4;2016
QUINDIO;25;3327.67;2017
QUINDIO;25;1811.33;2018
QUINDIO;25;4908.8;2019
QUINDIO;25;8384.85;2020
RISARALDA;26;16540.01;2015
RISARALDA;26;105934.53;2016
RISARALDA;26;19940.42;2017
RISARALDA;26;61169.97;2018
RISARALDA;26;93265.76;2019
RISARALDA;26;114751.03;2020
SANTANDER;27;10075.86;2015
SANTANDER;27;11372.28;2016
SANTANDER;27;39465.85;2017
SANTANDER;27;11690.49;2018
SANTANDER;27;72216.93;2019
SANTANDER;27;49835.43;2020
SUCRE;28;149.53;2015
SUCRE;28;1401.27;2016
SUCRE;28;11058.28;2017
SUCRE;28;3658.9;2018
SUCRE;28;229.6;2019
SUCRE;28;559.7;2020
TOLIMA;29;2927.7;2015
TOLIMA;29;3592.43;2016
TOLIMA;29;7279.16;2017
TOLIMA;29;2573.36;2018
TOLIMA;29;9103.62;2019
TOLIMA;29;5893.87;2020
VALLE DEL CAUCA;30;61074.25;2015
VALLE DEL CAUCA;30;89112.05;2016
VALLE DEL CAUCA;30;87127.34;2017
VALLE DEL CAUCA;30;148763.76;2018
VALLE DEL CAUCA;30;110678.4;2019
VALLE DEL CAUCA;30;108838.63;2020
VAUPES;31;0.0;2015
VAUPES;31;0.0;2016
VAUPES;31;30.0;2017
VAUPES;31;25.4;2018
VAUPES;31;38.12;2019
VAUPES;31;76.25;2020
VICHADA;29;0.0;2015
VICHADA;30;0.0;2016
VICHADA;31;0.0;2017
VICHADA;32;0.0;2019
VICHADA;32;0.0;2018
VICHADA;32;23.0;2020
AMAZONAS;0;20.28;2021
AMAZONAS;0;45.95;2022
AMAZONAS;0;43.01;2023
AMAZONAS;0;30.35;2024
AMAZONAS;0;28.95;2025
ANTIOQUIA;1;270507.25;2021
ANTIOQUIA;1;15910.11;2022
ANTIOQUIA;1;275859.01;2023
ANTIOQUIA;1;15863.86;2024
ANTIOQUIA;1;276419.37;2025
ARAUCA;2;7022.67;2021
ARAUCA;2;1369.11;2022
ARAUCA;2;3509.8;2023
ARAUCA;2;1033.9;2024
ARAUCA;2;1120.66;2025
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;374.83;2021
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;92.92;2022
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;185.74;2023
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;99.31;2024
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3;112.99;2025
ATLANTICO;4;41674.63;2021
ATLANTICO;4;7417.44;2022
ATLANTICO;4;39351.68;2023
ATLANTICO;4;9451.61;2024
ATLANTICO;4;37988.5;2025
BOGOTA, D.C.;5;385008.46;2021
BOGOTA, D.C.;5;1318308.96;2022
BOGOTA, D.C.;5;1103358.38;2023
BOGOTA, D.C.;5;539206.65;2024
BOGOTA, D.C.;5;680559.09;2025
BOLIVAR;6;173584.11;2021
BOLIVAR;6;19144.65;2022
BOLIVAR;6;184454.56;2023
BOLIVAR;6;15861.07;2024
BOLIVAR;6;186297.26;2025
BOYACA;7;23985.91;2021
BOYACA;7;10865.89;2022
BOYACA;7;22013.27;2023
BOYACA;7;13885.36;2024
BOYACA;7;20507.78;2025
CALDAS;8;2334.08;2021
CALDAS;8;18023.33;2022
CALDAS;8;27180.72;2023
CALDAS;8;22905.26;2024
CALDAS;8;9494.22;2025
CAQUETA;9;296.35;2021
CAQUETA;9;254.79;2022
CAQUETA;9;196.69;2023
CAQUETA;9;227.92;2024
CAQUETA;9;231.63;2025
CASANARE;10;1075.76;2021
CASANARE;10;1322.16;2022
CASANARE;10;1212.13;2023
CASANARE;10;1190.69;2024
CASANARE;10;1201.69;2025
CAUCA;11;4159.23;2021
CAUCA;11;334.8;2022
CAUCA;11;4101.83;2023
CAUCA;11;332.07;2024
CAUCA;11;4103.86;2025
CESAR;12;6795.56;2021
CESAR;12;3274.99;2022
CESAR;12;5306.69;2023
CESAR;12;3837.44;2024
CESAR;12;4518.01;2025
CHOCO;13;585.92;2021
CHOCO;13;154.12;2022
CHOCO;13;756.26;2023
CHOCO;13;139.25;2024
CHOCO;13;811.27;2025
CORDOBA;14;10452.27;2021
CORDOBA;14;8244.17;2022
CORDOBA;14;1680.9;2023
CORDOBA;14;6769.9;2024
CORDOBA;14;9124.72;2025
CUNDINAMARCA;15;88392.88;2021
CUNDINAMARCA;15;91176.66;2022
CUNDINAMARCA;15;93164.0;2023
CUNDINAMARCA;15;93364.57;2024
CUNDINAMARCA;15;93421.33;2025
GUAINIA;16;287.31;2021
GUAINIA;16;145.29;2022
GUAINIA;16;267.48;2023
GUAINIA;16;141.15;2024
GUAINIA;16;267.0;2025
GUAVIARE;17;20.03;2021
GUAVIARE;17;15.66;2022
GUAVIARE;17;18.98;2023
GUAVIARE;17;14.42;2024
GUAVIARE;17;18.36;2025
HUILA;18;34135.52;2021
HUILA;18;2192.22;2022
HUILA;18;18461.35;2023
HUILA;18;803.54;2024
HUILA;18;1309.91;2025
LA GUAJIRA;19;14754.73;2021
LA GUAJIRA;19;47954.6;2022
LA GUAJIRA;19;29717.73;2023
LA GUAJIRA;19;6839.67;2024
LA GUAJIRA;19;28728.43;2025
MAGDALENA;20;1049.68;2021
MAGDALENA;20;2286.04;2022
MAGDALENA;20;2551.29;2023
MAGDALENA;20;2217.49;2024
MAGDALENA;20;1916.05;2025
META;21;18915.8;2021
META;21;5658.37;2022
META;21;21244.99;2023
META;21;6285.45;2024
META;21;22174.67;2025
NARINO;22;5906.44;2021
NARINO;22;7419.01;2022
NARINO;22;8290.25;2023
NARINO;22;8752.99;2024
NARINO;22;9016.92;2025
NORTE DE SANTANDER;23;26234.6;2021
NORTE DE SANTANDER;23;16133.78;2022
NORTE DE SANTANDER;23;26409.18;2023
NORTE DE SANTANDER;23;19384.06;2024
NORTE DE SANTANDER;23;25383.04;2025
PUTUMAYO;24;768.68;2021
PUTUMAYO;24;245.2;2022
PUTUMAYO;24;599.55;2023
PUTUMAYO;24;319.52;2024
PUTUMAYO;24;491.75;2025
QUINDIO;25;7029.43;2021
QUINDIO;25;1977.14;2022
QUINDIO;25;5600.02;2023
QUINDIO;25;2820.41;2024
QUINDIO;25;5052.68;2025
RISARALDA;26;37915.39;2021
RISARALDA;26;32895.11;2022
RISARALDA;26;36276.96;2023
RISARALDA;26;36790.03;2024
RISARALDA;26;37640.11;2025
SANTANDER;27;7978.16;2021
SANTANDER;27;60070.66;2022
SANTANDER;27;58681.8;2023
SANTANDER;27;13799.5;2024
SANTANDER;27;12748.32;2025
SUCRE;28;117.0;2021
SUCRE;28;74.58;2022
SUCRE;28;88.16;2023
SUCRE;28;80.23;2024
SUCRE;28;82.15;2025
TOLIMA;29;8016.78;2021
TOLIMA;29;1193.73;2022
TOLIMA;29;7871.86;2023
TOLIMA;29;934.72;2024
TOLIMA;29;8030.88;2025
VALLE DEL CAUCA;30;67507.4;2021
VALLE DEL CAUCA;30;26966.74;2022
VALLE DEL CAUCA;30;49236.76;2023
VALLE DEL CAUCA;30;33175.04;2024
VALLE DEL CAUCA;30;40155.16;2025
VAUPES;31;72.09;2021
VAUPES;31;55.0;2022
VAUPES;31;37.13;2023
VAUPES;31;65.22;2024
VAUPES;31;55.93;2025
VICHADA;32;17.25;2021
VICHADA;32;8.6;2022
VICHADA;32;17.79;2023
VICHADA;32;19.56;2024
VICHADA;32;13.87;2025
