DEPARTAMENTO;ANNO;Coefficients;Mean squared error;Variance score;;;
AMAZONAS;2023;[-28.51051];17171.45;0.31;31;;
AMAZONAS;2022;[-47.51745];16993.1;0.35;35;;
AMAZONAS;2025;[-28.51051724];12878.59;0.35;35;;
AMAZONAS;2024;[-28.51049422];14718.38;0.38;38;;
AMAZONAS;2021;[-108.61114286];6726.33;0.79;79;;
ANTIOQUIA;2021;[36913.71314286];1344996890;0.75;75;;
ANTIOQUIA;2022;[36913.71310714];1152854477;0.83;83;;
ANTIOQUIA;2023;[36913.71308333];1008747668;0.88;88;;
ANTIOQUIA;2024;[36913.71306667];896664593.4;0.91;91;;
ANTIOQUIA;2025;[36913.71305455];806998134.1;0.93;93;;
ARAUCA;2021;[937.81628571];5433827.26;0.4;40;;
ARAUCA;2022;[937.81628571];4657566.22;0.43;43;;
ARAUCA;2023;[937.8162619];4075370.44;0.53;53;;
ARAUCA;2024;[937.81623333];3622551.5;0.62;62;;
ARAUCA;2025;[937.81626061];3260296.35;0.69;69;;
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2021;[249.23];0;1;100;;
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2022;[249.23];0;1;100;;
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2023;[249.23];0;1;100;;
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2024;[249.23];0;1;100;;
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;2025;[249.23];0;1;100;;
ATLANTICO;2023;[-9693.30969048];1783476521;0.32;32;;
ATLANTICO;2025;[-9693.30969091];1426781217;0.35;35;;
ATLANTICO;2022;[-9693.30967857];2038258881;0.36;36;;
ATLANTICO;2024;[-9693.30971667];1585312463;0.38;38;;
ATLANTICO;2021;[-9693.30971429];2377968695;0.7;70;;
BOGOTA, D.C.;2023;[95627.44860714];3.24E+11;0.43;43;;
BOGOTA, D.C.;2025;[95627.44859394];2.59E+11;0.43;43;;
BOGOTA, D.C.;2021;[95627.44857143];4.32E+11;0.46;46;;
BOGOTA, D.C.;2024;[95627.44858333];2.88E+11;0.47;47;;
BOGOTA, D.C.;2022;[95627.44857143];3.71E+11;0.49;49;;
BOLIVAR;2021;[25162.046];2058453894;0.47;47;;
BOLIVAR;2022;[25162.04603571];1764389052;0.59;59;;
BOLIVAR;2023;[25162.04604762];1543840421;0.68;68;;
BOLIVAR;2024;[25162.04605];1372302596;0.75;75;;
BOLIVAR;2025;[25162.04604848];1235072337;0.81;81;;
BOYACA;2021;[5587.45371429];13107860.1;0.87;87;;
BOYACA;2022;[5587.45371429];11235308.66;0.92;92;;
BOYACA;2023;[5587.4537381];9830895.07;0.94;94;;
BOYACA;2024;[5587.45376667];8738573.4;0.96;96;;
BOYACA;2025;[5587.45379394];7864716.06;0.97;97;;
CALDAS;2021;[3825.47285714];34375417.72;0.55;55;;
CALDAS;2022;[3825.47282143];29464643.76;0.67;67;;
CALDAS;2023;[3825.47282143];25781563.29;0.75;75;;
CALDAS;2024;[3825.47283333];22916945.15;0.81;81;;
CALDAS;2025;[3825.47284848];20625250.63;0.85;85;;
CAQUETA;2021;[108.93];7198.44;0.67;67;;
CAQUETA;2022;[108.93];5758.75;0.8;80;;
CAQUETA;2023;[108.93];4798.96;0.88;88;;
CAQUETA;2024;[108.93];4113.39;0.92;92;;
CAQUETA;2025;[108.93];3599.22;0.95;95;;
CASANARE;2021;[67.25428571];616739;0.32;32;;
CASANARE;2022;[67.25428571];528633.43;0.33;33;;
CASANARE;2023;[67.2542619];462554.25;0.35;35;;
CASANARE;2024;[67.25423333];411159.33;0.37;37;;
CASANARE;2025;[67.25426061];370043.4;0.39;39;;
CAUCA;2021;[-782.59514286];487942.41;0.79;79;;
CAUCA;2022;[-782.59517857];418236.35;0.85;85;;
CAUCA;2023;[-782.59517857];365956.81;0.9;90;;
CAUCA;2024;[-782.59516667];325294.94;0.93;93;;
CAUCA;2025;[-782.59515152];292765.45;0.95;95;;
CESAR;2021;[2916.74457143];4520013.59;0.85;85;;
CESAR;2022;[2916.74453571];3874297.36;0.9;90;;
CESAR;2023;[2916.74455952];3390010.19;0.93;93;;
CESAR;2024;[2916.74453333];3013342.39;0.95;95;;
CESAR;2025;[2916.74454545];2712008.16;0.96;96;;
CHOCO;2021;[121.12857143];102235.69;0.3;30;;
CHOCO;2022;[121.12860714];87630.59;0.5;50;;
CHOCO;2024;[121.12858333];68157.12;0.59;59;;
CHOCO;2023;[121.12857143];76676.76;0.6;60;;
CHOCO;2025;[121.12855758];61341.41;0.66;66;;
CORDOBA;2021;[1412.63114286];7934853.89;0.42;42;;
CORDOBA;2022;[1412.63110714];6801303.33;0.54;54;;
CORDOBA;2023;[1412.63108333];5951140.42;0.64;64;;
CORDOBA;2024;[1412.63106667];5289902.59;0.72;72;;
CORDOBA;2025;[1412.63105455];4760912.33;0.78;78;;
CUNDINAMARCA;2021;[14908.45485714];1159850825;0.36;36;;
CUNDINAMARCA;2022;[14908.45482143];994157849.6;0.47;47;;
CUNDINAMARCA;2023;[14908.45482143];869888118.4;0.57;57;;
CUNDINAMARCA;2024;[14908.45483333];773233883;0.66;66;;
CUNDINAMARCA;2025;[14908.45484848];695910494.7;0.72;72;;
GUAINIA;2024;[15.8571];8280.43;0.41;41;;
GUAINIA;2021;[15.85714286];16560.86;0.42;42;;
GUAINIA;2022;[15.85714286];12420.64;0.44;44;;
GUAINIA;2025;[15.85708197];7097.51;0.45;45;;
GUAINIA;2023;[15.85712162];9936.51;0.47;47;;
GUAVIARE;2025;[-2.75250811];40.7;0.49;49;;
GUAVIARE;2023;[-4.00321429];34.52;0.62;62;;
GUAVIARE;2024;[-4.00325472];27.61;0.71;71;;
GUAVIARE;2021;[-6.46666667];0;1;100;;
