ACTIVIDAD_ECONOMICA_CIIU;GENERACION_TOTAL_KG
0111;2205.0
0113;27.6
0119;12.0
0121;16.97
0124;11.0
0125;69750.46
0126;4178.67
0128;24.0
0130;165.44
0144;700.5
0145;2987.67
0149;469.92
0150;582.0
0161;454.2
0162;1216.7
0210;104.10000000000001
0510;162291.0
0520;84.0
0610;78505.94
0620;1959.1
0722;14808.94
0723;4707.95
0729;5.6
0811;2410.9
0812;335.1
0820;419.0
0892;476.9
0899;53.15
0910;62100.76
0990;128.5
1011;19278.1
1012;2981.9
1020;6763.0599999999995
1030;40222.03
1040;37849.740000000005
1051;8723.9
1052;298.6
1061;993.3
1062;5922.349999999999
1063;5366.93
1071;38435.54
1072;274.37
1081;23347.01
1082;16237.2
1083;623.8
1084;143.02
1089;55988.42
1090;16593.3
1101;989.86
1102;380.0
1103;20336.1
1104;294898.01
1200;3235.0
1311;6599.09
1312;29944.68
1313;4052.65
1391;740.0
1392;1863.76
1393;305.02
1394;241.0
1399;3804.0
1410;22047.95
1511;910.35
1512;332.52
1513;4436.0
1521;1335.55
1522;16780.699999999997
1523;4.3
1610;142.8
1620;215.5
1630;2.0
1640;35.1
1690;4.0
1701;37875.2
1702;13648.46
1709;37104.22
1811;69701.3
1812;350.96
1910;2639.96
1921;136886.5
2011;34509.09
2012;9733.61
2013;24404.0
2021;2956.2700000000004
2022;4635.05
2023;118152.26999999999
2029;200943.17
2030;198.5
2100;122174.31000000001
2211;4477.0
2219;15416.27
2221;40243.06
2229;34509.69
2310;28203.199999999997
2391;372.0
2392;20804.44
2393;12256.0
2394;34622.23
2395;13680.35
2399;635.28
2410;53411.36
2429;1706.5
2431;3216.72
2432;6922.85
2511;4672.7
2512;461.55
2513;532.3
2520;1811.0
2591;1939.1
2592;112212.90000000001
2593;3047.4
2599;34554.11
2610;384.0
2620;17016.25
2651;0.8
2711;40398.4
2712;556.1
2720;3971.4
2731;2741.5
2740;8407.7
2750;77763.31
2790;42793.1
2811;485.0
2812;1.0
2813;919.85
2814;35.0
2816;2792.35
2819;3078.25
2829;1936.65
2910;1426.6
2920;2989.55
2930;8948.52
3091;19074.800000000003
3110;6228.28
3120;2225.3
3210;1683.5
3250;1402.8000000000002
3290;10825.14
3311;1646.5
3312;41750.53
3314;1474.1
3315;195.0
3319;7.0
3320;53.5
3511;180797.61
3512;6381.25
3513;500779.23
3514;32698.0
3520;22885.16
3600;20541.17
3700;5556.780000000001
3811;6110.59
3812;5867.2
3821;2627.1
3822;177558.52000000002
3830;16217.3
3900;7037.25
4111;8247.78
4112;2521.8
4210;4891.33
4220;1878.05
4290;69580.63
4312;15.0
4321;17877.85
4322;1605.1499999999999
4329;4613.65
4390;3342.2
4511;58747.19
4520;133642.89
4530;91969.19
4541;1638.84
4542;107.8
4610;882.9
4620;56.0
4631;62592.880000000005
4641;69.6
4644;61185.69
4645;114508.69
4651;392.0
4652;103036.29000000001
4659;125345.88
4661;11702.57
4663;1119.38
4664;20892.48
4665;233631.94
4669;29685.63
4690;49554.340000000004
4711;113366.35
4719;62665.630000000005
4723;1640.0
4729;781.8
4731;12202.099999999999
4732;7672.2
4741;13609.85
4752;2317.3
4754;1455.9
4759;236.55
4762;0.7
4771;0.0
4773;773.1
4774;758.8
4799;27604.570000000003
4912;670.0
4921;18415.15
4923;109145.42000000001
4930;29250.14
5011;100.1
5012;6.8
5111;80440.66
5121;0.0
5122;2059.3
5210;65783.6
5221;314.5
5222;24158.199999999997
5223;14391.49
5224;7781.8
5229;14478.67
5310;15207.759999999998
5320;2400.28
5511;9955.35
5519;1088.0
5611;1795.4
5612;1735.7
5613;20.0
5621;4.4
5629;16.0
5813;169.5
6010;41.13
6020;3326.3
6110;65598.9
6120;40924.6
6130;57105.0
6190;3707425.08
6201;5491.36
6202;14997.779999999999
6209;31408.829999999998
6311;163086.26
6399;1256.0
6411;2633.85
6412;22345.0
6421;91.07
6431;137.25
6432;70.0
6495;2924.3
6511;23602.0
6512;5174.5
6521;317.1
6619;42082.22
6810;2266.4
6820;39862.68
6920;1506.3
7010;7346.9
7020;387.0
7110;26218.12
7120;1489.21
7210;5229.3
7220;2115.45
7310;451.91
7410;21.0
7490;12525.46
7500;30.7
7730;8377.65
7820;373.5
7990;1774.57
8010;28942.85
8020;121.65
8110;1.0
8121;135.13
8129;8127.75
8220;6215.0
8230;0.0
8292;1724.56
8299;31122.85
8412;75225.3
8413;13199.810000000001
8414;7085.5
8415;572.43
8422;8495.78
8423;7972.049999999999
8424;38644.740000000005
8430;4946.8099999999995
8511;1252.8
8512;1984.0
8513;897.0500000000001
8521;1290.0
8522;2979.2
8523;98187.39
8530;6727.4400000000005
8541;2570.8
8542;3643.11
8543;16722.28
8544;270545.1
8551;6455.8099999999995
8552;8581.55
8559;876.0
8560;1663.05
8610;284712.35
8621;53476.05
8622;3317.51
8691;16122.58
8692;7880.42
8699;20102.9
8710;14.3
8730;14.99
8790;624.97
8890;354.7
9008;34.0
9101;567.5
9102;886.5
9103;3647.51
9311;14.0
9312;4871.0
9321;1654.7
9329;49233.64
9411;4271.54
9491;1711.25
9492;3.0
9499;53125.68
9511;1215.9
9512;7986.5
9521;40.0
9522;762.4
9601;646.1
9602;16.5
9603;3874.9300000000003
9609;16430.239999999998
9700;29.000000000000004
9900;136.75
