ACTIVIDAD_ECONOMICA_CIIU;ANIO;GENERACION_TOTAL_KG
0111;2018;479.0
0111;2019;1181.0
0111;2020;545.0
0113;2018;10.6
0113;2020;17.0
0119;2020;12.0
0121;2017;16.97
0124;2018;11.0
0125;2015;55237.100000000006
0125;2016;1811.26
0125;2017;2820.47
0125;2018;2683.28
0125;2019;5492.849999999999
0125;2020;1705.5
0126;2015;364.5
0126;2016;303.7
0126;2017;619.0
0126;2018;1023.5
0126;2019;526.0
0126;2020;1341.97
0128;2020;24.0
0130;2015;18.0
0130;2016;14.05
0130;2017;19.39
0130;2018;114.0
0144;2018;57.5
0144;2019;138.0
0144;2020;505.0
0145;2015;563.9
0145;2016;101.0
0145;2017;252.1
0145;2018;345.77
0145;2019;1340.7
0145;2020;384.2
0149;2016;162.32
0149;2017;80.4
0149;2018;90.8
0149;2019;77.9
0149;2020;58.5
0150;2017;555.0
0150;2018;24.0
0150;2020;3.0
0161;2015;72.0
0161;2016;93.0
0161;2017;76.7
0161;2018;116.2
0161;2019;90.6
0161;2020;5.7
0162;2015;265.0
0162;2016;333.0
0162;2017;618.7
0210;2018;96.4
0210;2019;7.7
0510;2018;86990.0
0510;2019;62493.6
0510;2020;12807.4
0520;2015;1.0
0520;2018;70.0
0520;2020;13.0
0610;2015;16567.5
0610;2016;14587.5
0610;2017;4544.2
0610;2018;19143.34
0610;2019;14077.8
0610;2020;9585.6
0620;2017;7.6
0620;2019;1360.0
0620;2020;591.5
0722;2015;5634.0
0722;2016;183.03000000000003
0722;2017;4511.01
0722;2018;1250.95
0722;2019;3142.5
0722;2020;87.45
0723;2015;925.6
0723;2016;1168.9
0723;2017;1065.6
0723;2018;659.0
0723;2019;742.0
0723;2020;146.85
0729;2019;5.6
0811;2015;25.0
0811;2016;1130.0
0811;2017;293.0
0811;2018;304.0
0811;2019;370.0
0811;2020;288.9
0812;2016;55.0
0812;2018;195.0
0812;2019;8.9
0812;2020;76.2
0820;2017;47.0
0820;2018;357.0
0820;2020;15.0
0892;2015;133.7
0892;2016;0.0
0892;2017;0.0
0892;2018;133.7
0892;2019;209.5
0899;2017;16.5
0899;2018;36.65
0910;2015;11377.2
0910;2016;3292.6
0910;2017;13653.1
0910;2018;9887.6
0910;2019;15716.66
0910;2020;8173.599999999999
0990;2016;15.5
0990;2017;73.0
0990;2018;40.0
1011;2015;3168.12
1011;2016;1926.27
1011;2017;2360.9900000000002
1011;2018;3910.34
1011;2019;3829.03
1011;2020;4083.35
1012;2017;362.5
1012;2018;831.4
1012;2019;1065.5
1012;2020;722.5
1020;2015;1211.26
1020;2016;1575.8
1020;2017;2534.5
1020;2018;631.6999999999999
1020;2019;322.7
1020;2020;487.1
1030;2015;1490.81
1030;2016;4222.32
1030;2017;6365.9400000000005
1030;2018;4857.18
1030;2019;3942.7799999999997
1030;2020;19343.0
1040;2015;3965.7
1040;2016;6118.0
1040;2017;4479.64
1040;2018;7217.56
1040;2019;8409.75
1040;2020;7659.09
1051;2015;378.04
1051;2016;1874.05
1051;2017;1734.0
1051;2018;1381.95
1051;2019;2206.0
1051;2020;1149.86
1052;2017;269.0
1052;2018;29.6
1061;2015;124.4
1061;2016;81.5
1061;2017;75.3
1061;2018;126.6
1061;2019;95.2
1061;2020;490.29999999999995
1062;2015;774.91
1062;2016;1856.01
1062;2017;404.58
1062;2018;349.42
1062;2019;1893.36
1062;2020;644.07
1063;2015;1000.64
1063;2016;1836.9
1063;2017;1749.79
1063;2018;29.0
1063;2019;50.0
1063;2020;700.6
1071;2015;2960.0
1071;2016;10485.9
1071;2017;4881.62
1071;2018;11488.7
1071;2019;5176.7
1071;2020;3442.62
1072;2015;12.7
1072;2016;25.0
1072;2017;46.44
1072;2018;111.9
1072;2019;30.33
1072;2020;48.0
1081;2015;663.4
1081;2016;2799.25
1081;2017;1317.5
1081;2018;6253.25
1081;2019;10432.4
1081;2020;1881.21
1082;2015;5651.1
1082;2016;3638.5
1082;2017;4895.9
1082;2018;663.4
1082;2019;740.3499999999999
1082;2020;647.95
1083;2015;330.4
1083;2018;12.0
1083;2019;105.8
1083;2020;175.60000000000002
1084;2016;18.4
1084;2017;15.7
1084;2018;29.68
1084;2019;65.34
1084;2020;13.899999999999999
1089;2015;6881.9
1089;2016;4425.31
1089;2017;6984.14
1089;2018;14627.28
1089;2019;15113.09
1089;2020;7956.7
1090;2015;724.37
1090;2016;2865.37
1090;2017;5130.34
1090;2018;2034.77
1090;2019;3692.42
1090;2020;2146.03
1101;2015;235.7
1101;2016;23.7
1101;2017;39.1
1101;2018;191.22
1101;2019;487.59000000000003
1101;2020;12.55
1102;2015;40.0
1102;2016;0.0
1102;2017;300.0
1102;2018;40.0
1103;2015;2529.2
1103;2016;3196.5
1103;2017;3115.4
1103;2018;3474.0
1103;2019;3044.0
1103;2020;4977.0
1104;2015;6938.35
1104;2016;2361.2
1104;2017;3703.2
1104;2018;5290.12
1104;2019;46421.200000000004
1104;2020;230183.94
1200;2016;62.2
1200;2018;2504.0
1200;2019;639.3
1200;2020;29.5
1311;2015;2355.5
1311;2016;1930.0
1311;2017;1658.2
1311;2018;129.59
1311;2019;108.1
1311;2020;417.7
1312;2015;8431.99
1312;2016;7168.5
1312;2017;10641.98
1312;2018;499.90999999999997
1312;2019;974.9
1312;2020;2227.4
1313;2015;1053.0
1313;2016;1169.25
1313;2017;665.8
1313;2018;352.25
1313;2019;743.4
1313;2020;68.94999999999999
1391;2015;740.0
1392;2015;235.7
1392;2016;658.56
1392;2017;257.5
1392;2018;446.0
1392;2019;231.0
1392;2020;35.0
1393;2015;4.0
1393;2016;77.0
1393;2017;105.12
1393;2018;78.9
1393;2019;40.0
1394;2017;228.0
1394;2020;13.0
1399;2015;996.0
1399;2016;1078.4
1399;2017;537.3
1399;2018;796.0
1399;2019;145.7
1399;2020;250.6
1410;2015;3697.5
1410;2016;3649.45
1410;2017;2912.11
