DEPARTAMENTO;IDDEPARTAMENTO;GENERACION_TOTAL_KG;ANIO
AMAZONAS;0.0;470.0;2015
AMAZONAS;0.0;64.99;2017
AMAZONAS;0.0;45.3;2018
AMAZONAS;0.0;51.1;2019
ANTIOQUIA;1.0;94556.37;2015
ANTIOQUIA;1.0;116543.17;2016
ANTIOQUIA;1.0;104425.06999999999;2017
ANTIOQUIA;1.0;119334.23;2018
ANTIOQUIA;1.0;200749.22;2019
ANTIOQUIA;1.0;299446.9;2020
ARAUCA;2.0;3436.0;2015
ARAUCA;2.0;4932.5;2016
ARAUCA;2.0;1888.1399999999999;2017
ARAUCA;2.0;6885.4;2018
ARAUCA;2.0;10836.42;2019
ARAUCA;2.0;5458.91;2020
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3.0;337.0;2018
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;3.0;586.23;2019
ATLANTICO;4.0;30514.87;2015
ATLANTICO;4.0;182971.94999999998;2016
ATLANTICO;4.0;106508.18000000001;2017
ATLANTICO;4.0;60518.86;2018
ATLANTICO;4.0;47482.46;2019
ATLANTICO;4.0;53153.26;2020
BOGOTA, D.C.;5.0;465967.03;2015
BOGOTA, D.C.;5.0;621984.06;2016
BOGOTA, D.C.;5.0;2144151.48;2017
BOGOTA, D.C.;5.0;370618.92;2018
BOGOTA, D.C.;5.0;1766232.18;2019
BOGOTA, D.C.;5.0;803516.81;2020
BOLIVAR;6.0;3177.0;2015
BOLIVAR;6.0;96998.18;2016
BOLIVAR;6.0;80977.5;2017
BOLIVAR;6.0;51362.049999999996;2018
BOLIVAR;6.0;60793.0;2019
BOLIVAR;6.0;206957.52000000002;2020
BOYACA;7.0;6285.0;2015
BOYACA;7.0;13384.85;2016
BOYACA;7.0;14464.49;2017
BOYACA;7.0;17013.62;2018
BOYACA;7.0;23901.6;2019
BOYACA;7.0;38577.3;2020
CALDAS;8.0;11924.37;2015
CALDAS;8.0;11882.73;2016
CALDAS;8.0;9559.47;2017
CALDAS;8.0;7539.83;2018
CALDAS;8.0;23702.91;2019
CALDAS;8.0;32014.5;2020
CAQUETA;9.0;135.2;2017
CAQUETA;9.0;71.3;2018
CAQUETA;9.0;185.0;2019
CAQUETA;9.0;460.4;2020
CASANARE;10.0;2689.48;2015
CASANARE;10.0;1976.9;2016
CASANARE;10.0;2386.25;2017
CASANARE;10.0;4448.78;2018
CASANARE;10.0;2564.9900000000002;2019
CASANARE;10.0;2394.9;2020
CAUCA;11.0;7536.26;2015
CAUCA;11.0;7203.01;2016
CAUCA;11.0;7588.4400000000005;2017
CAUCA;11.0;5731.76;2018
CAUCA;11.0;3768.21;2019
CAUCA;11.0;4490.31;2020
CESAR;12.0;818.0;2015
CESAR;12.0;766.83;2016
CESAR;12.0;1763.3;2017
CESAR;12.0;3777.9;2018
CESAR;12.0;11045.400000000001;2019
CESAR;12.0;14665.15;2020
CHOCO;13.0;14.0;2015
CHOCO;13.0;490.0;2016
CHOCO;13.0;1.0;2017
CHOCO;13.0;752.0;2018
CHOCO;13.0;66.0;2019
CHOCO;13.0;966.1;2020
CORDOBA;14.0;2034.2;2015
CORDOBA;14.0;2274.85;2016
CORDOBA;14.0;6990.07;2017
CORDOBA;14.0;2801.06;2018
CORDOBA;14.0;3007.3;2019
CORDOBA;14.0;12320.95;2020
CUNDINAMARCA;15.0;126764.05;2015
CUNDINAMARCA;15.0;73083.99;2016
CUNDINAMARCA;15.0;82095.6;2017
CUNDINAMARCA;15.0;84340.6;2018
CUNDINAMARCA;15.0;129125.03;2019
CUNDINAMARCA;15.0;197049.61;2020
GUAINIA;16.0;147.0;2017
GUAINIA;16.0;417.0;2019
GUAINIA;16.0;135.0;2020
GUAVIARE;17.0;28.0;2017
GUAVIARE;17.0;8.6;2020
HUILA;18.0;469.5;2015
HUILA;18.0;8906.5;2016
HUILA;18.0;3661.58;2017
HUILA;18.0;3401.38;2018
HUILA;18.0;42802.57;2019
HUILA;18.0;16968.32;2020
LA GUAJIRA;19.0;1244.5;2015
LA GUAJIRA;19.0;1835.75;2016
LA GUAJIRA;19.0;1460.46;2017
LA GUAJIRA;19.0;88872.27;2018
LA GUAJIRA;19.0;55194.1;2019
LA GUAJIRA;19.0;4676.22;2020
MAGDALENA;20.0;885.66;2015
MAGDALENA;20.0;1152.7;2016
MAGDALENA;20.0;4215.16;2017
MAGDALENA;20.0;5749.27;2018
MAGDALENA;20.0;4118.1900000000005;2019
MAGDALENA;20.0;4350.4;2020
META;21.0;6871.92;2015
META;21.0;3228.66;2016
META;21.0;5456.51;2017
META;21.0;17747.48;2018
META;21.0;11418.210000000001;2019
META;21.0;30692.36;2020
NARINO;22.0;20111.06;2015
NARINO;22.0;22316.6;2016
NARINO;22.0;11993.04;2017
NARINO;22.0;44565.28;2018
NARINO;22.0;6846.17;2019
NARINO;22.0;44910.97;2020
