MUNICIPIO;IDMUNICIPIO;GENERACION_TOTAL_KG;ANIO
ACACIAS;0.0;20.0;2016
ACACIAS;0.0;36.97;2017
ACACIAS;0.0;10.0;2019
ACACIAS;0.0;43.0;2020
AGUACHICA;1.0;270.0;2015
AGUACHICA;1.0;67.0;2016
AGUACHICA;1.0;446.7;2017
AGUACHICA;1.0;2688.15;2019
AGUACHICA;1.0;2000.9;2020
AGUAZUL;2.0;91.7;2016
AGUAZUL;2.0;68.32;2017
AGUAZUL;2.0;0.4;2019
AGUAZUL;2.0;1.0;2020
AGUSTIN CODAZZI;3.0;314.5;2015
AGUSTIN CODAZZI;3.0;110.7;2016
AGUSTIN CODAZZI;3.0;149.0;2017
AGUSTIN CODAZZI;3.0;236.0;2019
AGUSTIN CODAZZI;3.0;717.5;2020
AIPE;4.0;7589.0;2016
AIPE;4.0;3.0;2017
AIPE;4.0;0.0;2019
AIPE;4.0;40.0;2020
ALBAN;5.0;37.800000000000004;2015
ALBAN;5.0;12.3;2016
ALBAN;5.0;75.9;2017
ALBANIA;6.0;20.0;2015
ALBANIA;6.0;53790.0;2019
ALCALA;7.0;16.0;2017
ALVARADO;8.0;17.0;2017
AMAGA;9.0;16.97;2017
AMAGA;9.0;16.5;2020
AMALFI;10.0;64.6;2017
AMALFI;10.0;106.9;2019
AMALFI;10.0;108.10000000000001;2020
ANDALUCIA;11.0;12.7;2015
ANDALUCIA;11.0;25.0;2016
ANDALUCIA;11.0;41.44;2017
ANDALUCIA;11.0;12.83;2019
ANDALUCIA;11.0;9.0;2020
ANGOSTURA;12.0;0.74;2016
ANGOSTURA;12.0;36.07;2017
ANGOSTURA;12.0;6.35;2019
ANGOSTURA;12.0;7.52;2020
ANORI;13.0;163.70000000000002;2019
ANORI;13.0;72.0;2020
ANSERMANUEVO;14.0;3.2;2017
APARTADO;15.0;21.0;2015
APARTADO;15.0;1238.0;2016
APARTADO;15.0;921.69;2017
APARTADO;15.0;414.0;2019
APARTADO;15.0;500.03999999999996;2020
ARACATACA;16.0;38.0;2015
ARACATACA;16.0;500.0;2017
ARACATACA;16.0;80.0;2019
ARACATACA;16.0;60.0;2020
ARAUCA;17.0;126.0;2015
ARAUCA;17.0;325.0;2016
ARAUCA;17.0;888.64;2017
ARAUCA;17.0;474.42;2019
ARAUCA;17.0;3450.21;2020
ARAUQUITA;18.0;3245.0;2015
ARAUQUITA;18.0;4597.5;2016
ARAUQUITA;18.0;989.5;2017
ARAUQUITA;18.0;10344.0;2019
ARAUQUITA;18.0;832.0;2020
ARBOLETES;19.0;16.97;2017
ARJONA;20.0;64.0;2015
ARJONA;20.0;146.0;2016
ARJONA;20.0;204.0;2017
ARJONA;20.0;712.1;2019
ARJONA;20.0;120.5;2020
ARMENIA;21.0;3862.0;2015
ARMENIA;21.0;2057.7;2016
ARMENIA;21.0;2772.67;2017
ARMENIA;21.0;4833.32;2019
ARMENIA;21.0;8169.85;2020
ARMERO GUAYABAL;22.0;39.2;2019
ARMERO GUAYABAL;22.0;2.5;2020
AYAPEL;23.0;16.97;2017
BAHIA SOLANO;24.0;1.0;2017
BAHIA SOLANO;24.0;333.0;2020
BALBOA;25.0;477.2;2015
BALBOA;25.0;1871.5;2016
BALBOA;25.0;1739.0;2017
BALBOA;25.0;1987.2;2019
BALBOA;25.0;21.2;2020
BARANOA;26.0;0.0;2015
BARANOA;26.0;4.0;2019
BARANOA;26.0;63.0;2020
BARBOSA;27.0;801.0;2015
BARBOSA;27.0;900.0;2016
BARBOSA;27.0;771.42;2017
BARBOSA;27.0;2258.5;2019
BARBOSA;27.0;4469.7;2020
BARRANCA DE UPIA;28.0;153.0;2019
BARRANCA DE UPIA;28.0;144.0;2020
BARRANCABERMEJA;29.0;4650.8;2015
BARRANCABERMEJA;29.0;1192.2;2016
BARRANCABERMEJA;29.0;31499.97;2017
BARRANCABERMEJA;29.0;60677.95;2019
BARRANCABERMEJA;29.0;45538.5;2020
BARRANQUILLA;30.0;15449.5;2015
BARRANQUILLA;30.0;141478.65;2016
BARRANQUILLA;30.0;82071.84;2017
BARRANQUILLA;30.0;15475.93;2019
BARRANQUILLA;30.0;16123.78;2020
BELALCAZAR;31.0;2.5;2017
BELEN DE UMBRIA;32.0;0.0;2019
BELLO;33.0;8698.9;2015
BELLO;33.0;7542.7;2016
BELLO;33.0;9902.35;2017
BELLO;33.0;2526.75;2019
BELLO;33.0;70482.20000000001;2020
BOAVITA;34.0;2.5;2019
BOGOTA, D.C.;35.0;465967.03;2015
BOGOTA, D.C.;35.0;621984.06;2016
BOGOTA, D.C.;35.0;2144151.48;2017
BOGOTA, D.C.;35.0;1766232.18;2019
BOGOTA, D.C.;35.0;803516.81;2020
BOJACA;36.0;60.26;2016
BOJACA;36.0;34.6;2017
BOJACA;36.0;62.550000000000004;2019
BOJACA;36.0;45.9;2020
