MUNICIPIO;IDMUNICIPIO;GENERACION_TOTAL_KG;ANIO
ACACIAS;0.0;20.0;2016
ACACIAS;0.0;36.97;2017
ACACIAS;0.0;10.0;2019
ACACIAS;0.0;43.0;2020
ACACIAS;0.0;33.202;2021
ACACIAS;0.0;35.105;2022
ACACIAS;0.0;37.008;2023
ACACIAS;0.0;38.911;2024
ACACIAS;0.0;40.814;2025
AGUACHICA;1.0;270.0;2015
AGUACHICA;1.0;67.0;2016
AGUACHICA;1.0;446.7;2017
AGUACHICA;1.0;2688.15;2019
AGUACHICA;1.0;2000.9;2020
AGUACHICA;1.0;2890.971;2021
AGUACHICA;1.0;3389.977;2022
AGUACHICA;1.0;3888.983;2023
AGUACHICA;1.0;4387.989;2024
AGUACHICA;1.0;4886.995;2025
AGUAZUL;2.0;91.7;2016
AGUAZUL;2.0;68.32;2017
AGUAZUL;2.0;0.4;2019
AGUAZUL;2.0;1.0;2020
AGUAZUL;2.0;40.355;2021
AGUAZUL;2.0;40.355;2022
AGUAZUL;2.0;4.738;2023
AGUAZUL;2.0;35.267;2024
AGUAZUL;2.0;3.913;2025
AGUSTIN CODAZZI;3.0;314.5;2015
AGUSTIN CODAZZI;3.0;110.7;2016
AGUSTIN CODAZZI;3.0;149.0;2017
AGUSTIN CODAZZI;3.0;236.0;2019
AGUSTIN CODAZZI;3.0;717.5;2020
AGUSTIN CODAZZI;3.0;572.133;2021
AGUSTIN CODAZZI;3.0;646.186;2022
AGUSTIN CODAZZI;3.0;720.24;2023
AGUSTIN CODAZZI;3.0;794.293;2024
AGUSTIN CODAZZI;3.0;868.347;2025
AIPE;4.0;7589.0;2016
AIPE;4.0;3.0;2017
AIPE;4.0;0.0;2019
AIPE;4.0;40.0;2020
AIPE;4.0;1908.0;2021
AIPE;4.0;1908.0;2022
AIPE;4.0;1908.0;2023
AIPE;4.0;266.587;2024
AIPE;4.0;1702.823;2025
ALBAN;5.0;37.8;2015
ALBAN;5.0;12.3;2016
ALBAN;5.0;75.9;2017
ALBAN;5.0;137.25;2021
ALBAN;5.0;156.3;2022
ALBAN;5.0;175.35;2023
ALBAN;5.0;194.4;2024
ALBAN;5.0;213.45;2025
ALBANIA;6.0;20.0;2015
ALBANIA;6.0;53790.0;2019
ALBANIA;6.0;80675.0;2021
ALBANIA;6.0;94117.5;2022
ALBANIA;6.0;107560.0;2023
ALBANIA;6.0;121002.5;2024
ALBANIA;6.0;134445.0;2025
ALCALA;7.0;16.0;2017
ALCALA;7.0;16.0;2021
ALCALA;7.0;16.0;2022
ALCALA;7.0;16.0;2023
ALCALA;7.0;16.0;2024
ALCALA;7.0;16.0;2025
ALVARADO;8.0;17.0;2017
ALVARADO;8.0;17.0;2021
ALVARADO;8.0;17.0;2022
ALVARADO;8.0;17.0;2023
ALVARADO;8.0;17.0;2024
ALVARADO;8.0;17.0;2025
AMAGA;9.0;16.97;2017
AMAGA;9.0;16.5;2020
AMAGA;9.0;16.343;2021
AMAGA;9.0;16.186;2022
AMAGA;9.0;16.029;2023
AMAGA;9.0;15.872;2024
AMAGA;9.0;15.715;2025
AMALFI;10.0;64.6;2017
AMALFI;10.0;106.9;2019
AMALFI;10.0;108.1;2020
AMALFI;10.0;129.25;2021
AMALFI;10.0;144.7;2022
AMALFI;10.0;160.15;2023
AMALFI;10.0;175.6;2024
AMALFI;10.0;191.05;2025
ANDALUCIA;11.0;12.7;2015
ANDALUCIA;11.0;25.0;2016
ANDALUCIA;11.0;41.44;2017
ANDALUCIA;11.0;12.83;2019
ANDALUCIA;11.0;9.0;2020
ANDALUCIA;11.0;12.214;2021
ANDALUCIA;11.0;9.997;2022
ANDALUCIA;11.0;7.78;2023
ANDALUCIA;11.0;5.563;2024
ANDALUCIA;11.0;3.347;2025
ANGOSTURA;12.0;0.74;2016
ANGOSTURA;12.0;36.07;2017
ANGOSTURA;12.0;6.35;2019
ANGOSTURA;12.0;7.52;2020
ANGOSTURA;12.0;7.822;2021
ANGOSTURA;12.0;6.206;2022
ANGOSTURA;12.0;4.59;2023
ANGOSTURA;12.0;2.974;2024
ANGOSTURA;12.0;1.358;2025
ANORI;13.0;163.70000000000002;2019
ANORI;13.0;72.0;2020
ANORI;13.0;117.85;2021
ANORI;13.0;72.0;2022
ANORI;13.0;49.075;2023
ANORI;13.0;26.15;2024
ANORI;13.0;3.225;2025
ANSERMANUEVO;14.0;3.2;2017
ANSERMANUEVO;14.0;3.2;2021
ANSERMANUEVO;14.0;3.2;2022
ANSERMANUEVO;14.0;3.2;2023
ANSERMANUEVO;14.0;3.2;2024
ANSERMANUEVO;14.0;3.2;2025
APARTADO;15.0;21.0;2015
APARTADO;15.0;1238.0;2016
APARTADO;15.0;921.69;2017
APARTADO;15.0;414.0;2019
APARTADO;15.0;500.04;2020
APARTADO;15.0;579.226;2021
