MUNICIPIO;IDMUNICIPIO;GENERACION_TOTAL_KG;ANIO
ACACIAS;0;0.0;2015
ACACIAS;0;20.0;2016
ACACIAS;0;36.97;2017
ACACIAS;0;0.0;2018
ACACIAS;0;10.0;2019
ACACIAS;0;43.0;2020
AGUACHICA;1;270.0;2015
AGUACHICA;1;67.0;2016
AGUACHICA;1;446.7;2017
AGUACHICA;1;0.0;2018
AGUACHICA;1;2688.15;2019
AGUACHICA;1;2000.9;2020
AGUAZUL;2;0.0;2015
AGUAZUL;2;91.7;2016
AGUAZUL;2;68.32;2017
AGUAZUL;2;0.0;2018
AGUAZUL;2;0.4;2019
AGUAZUL;2;1.0;2020
AGUSTIN CODAZZI;3;314.5;2015
AGUSTIN CODAZZI;3;110.7;2016
AGUSTIN CODAZZI;3;149.0;2017
AGUSTIN CODAZZI;3;0.0;2018
AGUSTIN CODAZZI;3;236.0;2019
AGUSTIN CODAZZI;3;717.5;2020
AIPE;4;0.0;2015
AIPE;4;7589.0;2016
AIPE;4;3.0;2017
AIPE;4;0.0;2018
AIPE;4;0.0;2019
AIPE;4;40.0;2020
ALBAN;5;37.8;2015
ALBAN;5;12.3;2016
ALBAN;5;75.9;2017
ALBAN;5;0.0;2018
ALBAN;5;0.0;2019
ALBAN;5;0.0;2020
ALBANIA;6;20.0;2015
ALBANIA;6;0.0;2016
ALBANIA;6;0.0;2017
ALBANIA;6;0.0;2018
ALBANIA;6;53790.0;2019
ALBANIA;6;0.0;2020
ALCALA;7;0.0;2015
ALCALA;7;0.0;2016
ALCALA;7;16.0;2017
ALCALA;7;0.0;2018
ALCALA;7;0.0;2019
ALCALA;7;0.0;2020
ALVARADO;8;0.0;2015
ALVARADO;8;0.0;2016
ALVARADO;8;17.0;2017
ALVARADO;8;0.0;2018
ALVARADO;8;0.0;2019
ALVARADO;8;0.0;2020
AMAGA;9;0.0;2015
AMAGA;9;0.0;2016
AMAGA;9;16.97;2017
AMAGA;9;0.0;2018
AMAGA;9;0.0;2019
AMAGA;9;16.5;2020
AMALFI;10;0.0;2015
AMALFI;10;0.0;2016
AMALFI;10;64.6;2017
AMALFI;10;0.0;2018
AMALFI;10;106.9;2019
AMALFI;10;108.1;2020
ANDALUCIA;11;12.7;2015
ANDALUCIA;11;25.0;2016
ANDALUCIA;11;41.44;2017
ANDALUCIA;11;0.0;2018
ANDALUCIA;11;12.83;2019
ANDALUCIA;11;9.0;2020
ANGOSTURA;12;0.0;2015
ANGOSTURA;12;0.74;2016
ANGOSTURA;12;36.07;2017
ANGOSTURA;12;0.0;2018
ANGOSTURA;12;6.35;2019
